SP.RUR.TOTL.ZG,SP.DYN.LE00.MA.IN,SP.DYN.CDRT.IN,SE.SEC.AGES,TT.PRI.MRCH.XD.WD,TM.VAL.MRCH.HI.ZS,SP.URB.TOTL.IN.ZS,SP.POP.TOTL,NY.ADJ.AEDU.GN.ZS,TM.VAL.MRCH.WL.CD,SE.PRM.DURS,NY.ADJ.DNGY.CD,TX.VAL.MRCH.RS.ZS,TX.VAL.MRCH.HI.ZS,TM.QTY.MRCH.XD.WD,SP.RUR.TOTL.ZS,SP.POP.GROW,SP.DYN.TFRT.IN,PA.NUS.ATLS,SP.URB.GROW,PA.NUS.FCRF,AG.LND.TOTL.K2,TX.QTY.MRCH.XD.WD,SE.PRM.AGES,SP.URB.TOTL,NY.ADJ.DMIN.CD,EG.ELC.ACCS.UR.ZS,TX.UVI.MRCH.XD.WD,SP.DYN.CBRT.IN,SP.DYN.LE00.FE.IN,SH.TBS.INCD,EG.ELC.ACCS.ZS,TM.VAL.MRCH.XD.WD,SP.RUR.TOTL,SP.DYN.LE00.IN,AG.LND.FRST.K2,EN.POP.DNST,AG.LND.FRST.ZS,SE.SEC.DURS,NY.ADJ.DCO2.CD,TX.VAL.MRCH.XD.WD,TM.VAL.MRCH.RS.ZS,TX.VAL.MRCH.WL.CD,TM.UVI.MRCH.XD.WD,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GDP.PCAP.CN,NY.GDP.MKTP.CN,PC1,PC2,PC3,Country,class
2.245444217142857,57.41685714285714,10.326000000000002,12,129.3779173619048,31.947938728571422,47.97176190476191,3887553.1904761903,3.7139999999999977,2211230536.571429,6,0,0.1733094236190481,94.89540308714288,96.72595934333332,52.0282380952381,2.989350799809524,4.991142857142858,1,3.7942860782857135,84.15674403857145,96320,56.008628395238105,6,1881097.7142857143,4184844.068075999,90.57973747721289,160.9020936052381,37.306285714285714,60.22476190476192,285.95238095238096,81.50817369565816,123.46100655571428,2006455.476190476,58.81290476190476,79200.4,40.36080970190477,82.22632890333335,6,27719291.559,92.60891591047618,0.0294507962857142,1418552855.5714283,122.06534131619048,2135104852.3809524,518.9708356190475,518.9708356190475,2135104852.3809524,3.0292462466107057,-0.47289318219257537,-1.3904301398623835,LBR,1
0.2791430048571428,69.61995238095237,4.827000000000001,12,157.14100056476187,61.037195021428566,78.23157142857144,6130842.714285715,2.137438199999999,11044950130.47619,6,7548309264.519999,0.0007189687142857,82.57348388,199.86333302857145,21.76842857142857,1.2580864935238094,2.463476190476191,1.2358190476190476,1.5255326215238092,1.22864325285,1759540,93.62488538190476,6,4801828.80952381,0,99.99374789238097,234.1719376571428,20.828,74.69071428571428,41.80952380952381,82.11482819952383,302.5306580428572,1329013.9047619049,72.00838095238095,2170,3.4843440413333333,0.1233276879999999,6,1698165226.99,218.8526265761905,5.351465554952381,31142955971.57143,143.38276879857145,47250652971.66666,7710.027591999999,9504.094562380957,58663804823.809525,-0.690314481320925,-0.4967598570799048,0.14314739446137725,LBY,0
0.7787338546666663,79.33809523809522,6.647619047619047,12,114.09184628579584,60.33639098112102,14.558190476190475,35971.380952380954,2.6884484938,71615285347.38611,5,3731109476.2801685,3.049016200286107,63.386581821622244,203.59270854946692,85.44180952380951,0.7229717476666667,1.4976190476190476,1.140507857142857,0.4047435544761905,1.130205037863636,160,194.22227641279312,7,5233.238095238095,0,100,165.7252774717387,10.238095238095235,83.87619047619049,129.60186886815026,100,300.9504467056939,30738.14285714286,81.55180023238094,66.99714285714286,224.82113095238097,41.87321428571429,7,4457489605.334102,324.38208956234826,3.3248993663217967,70626703289.19662,147.3489965995387,4893349682.6,134952.22558700002,147033.56376499997,5297220000,-2.2330958725802375,-0.9998791226134024,0.1691435612595103,LIE,3
-0.3466737798571427,44.82314285714286,17.55142857142857,13,84.33789722809524,12.531720239619048,24.55409523809524,2036223.047619048,7.870853223750002,1991075326.047619,7,0,3.389747619100476e-05,51.33940569904762,163.61056081047622,75.44590476190476,0.2804418229047619,3.364428571428572,9.774309523809524,2.289122519952381,10.001720552863636,30360,324.3287517190476,6,500856.5238095238,0,46.635707045,108.05970157380956,28.96704761904762,50.447666666666656,971.7142857142856,21.009955973952383,217.40008125619045,1535366.5238095238,47.50209523809525,345.1999999999999,67.0692703442857,1.1370223979999996,5,64019857.628,355.5722748904762,2.984461415047618,596910750.5238096,129.87503788428572,1879358042.561905,921.7392021,9257.817984476187,19004584319.04762,6.024592149727841,0.44054618020322583,-2.4812349474789377,LSO,1
-1.2508939330952384,67.88095238095238,13.414285714285716,11,98.15853972142855,67.52159508476191,67.05104761904764,3113615.333333333,4.555941156499999,23789367695.57143,4,27869036.28070001,0.2289416918571428,73.03719240619048,239.2709698809524,32.948952380952385,-1.1041584848095236,1.475238095238095,0.8510839244761905,-1.033660410047619,2.251613537590909,62663.22727272727,302.03288683809524,7,2086992.523809524,0,100,169.14795711428573,9.685714285714289,78.85238095238095,65.33333333333333,100,436.3565718285714,1026622.8095238096,73.23286875714285,21395.714285714286,49.68584421571429,34.14331523190477,8,382607434.3250001,545.5714629619048,0.3382586853333332,20744842422.190475,173.2345561852381,36975290472.42857,12260.087570666665,10078.56977304762,30378943142.857143,-1.9901494584738226,-0.9471608913438202,0.9895651336987679,LTU,3
-1.3306019932380952,77.8952380952381,7.571428571428573,12,82.09207964714284,88.74047279857142,88.30738095238095,519056.90476190473,4.718037298,22820498997.90476,6,0,1.180447018666667,92.64883625380952,131.88871674761904,11.692619047619043,1.8166448929523813,1.5499999999999998,0.8444650219047618,2.252838821333333,0.8445117999545453,2430,166.04326032380948,6,459666.4761904762,5973037.151885,100,122.30388086190476,11.261904761904765,83.24285714285716,7.89047619047619,100,202.41202637142857,59390.42857142857,80.50383275285715,881.7619047619048,213.60366450952372,36.28649813714284,7,282646950.18999994,205.90918277619048,0.4539569068095237,17206987846,151.70020297714288,51952872113.52381,97952.02647476192,80489.74507095238,42733181666.66666,-3.8996609038389063,-1.9992930999069671,-0.5341337615584411,LUX,3
-1.1066610871428568,67.94285714285714,14.404761904761909,12.363636363636363,104.72607416190476,82.00033953761906,67.96766666666667,2112438.619047619,4.568150572250001,12805915499.380953,5.363636363636363,0,0.668265573047619,78.0368604952381,236.23513449047616,32.03233333333333,-1.0924040247619051,1.4742857142857144,0.810350470190476,-1.0857769806190478,0.6636943647727273,62164.27272727273,286.7340701809524,7,1435669.3333333333,0,100,169.27999842095238,9.9,78.23809523809523,56.38095238095238,100,399.84019733333326,676769.2857142857,72.96492450666666,33479.03333333334,33.97833759666668,53.853099185714285,6.636363636363637,208564362.145,518.0474578761905,0.2528731228095239,9685308649.809525,161.43440257380954,24449846567.142857,11882.393610714287,9581.893267619049,19661860619.04762,-1.7741158790011768,-1.1271347903919549,0.1840696131281476,LVA,3
2.079388172809524,57.638047619047626,8.265857142857143,12,100.92655528190478,57.39497053714285,23.70909523809524,42343518.9047619,5.44851162605,11038672745.333334,6,722221.13785,1.9889128931904765,40.22212822999999,232.0667411380952,76.29090476190478,2.607484876714286,4.308857142857143,85.21674761904762,4.3172498045714285,86.32681960090908,569140,170.72967269999998,6,10202440.142857144,8355121.419395,68.11437116333333,149.10638454952382,34.52152380952381,61.95104761904762,475.7619047619048,35.465982573333335,362.63698814761904,32141078.76190476,59.79276190476191,36877.66428571429,74.39912658523811,6.479541814999999,6,390906389.74,262.69117405714286,0.979635789809524,4426783682.047619,146.9283965357143,48760723276.71429,1070.8427252,96459.79300190476,4465268428571.429,4.493186851034661,0.5339006971582874,-1.0095735190487185,KEN,1
1.3460892345714284,65.60952380952381,6.442857142857142,11,116.64250075714284,20.40858685095239,35.60933333333333,5573900,5.268921059200001,3130568162.333333,4,4645448.256850002,0.004191345,46.02655695285714,329.4801908300001,64.39066666666666,1.462010408095238,2.8809523809523814,51.80246666666666,1.66741804547619,53.28822989227273,191800,139.31358274857143,7,1987054.142857143,159228501.7885,99.49163854761905,187.60193697666668,24.366666666666667,73.63809523809523,133,99.48276955714284,575.0650591971429,3586845.8571428573,69.52590011476191,12324.43058095238,29.061001043809533,6.425667664809525,7,236631145.79,273.81092189476186,0.0702556702857142,1258748669.2857144,158.67346928095236,5049080855.761905,875.6685332809523,48145.55427999999,282647147619.0476,1.3411748486592976,-0.057822876735370586,1.2356029546812506,KGZ,0
0.3913218949421939,79.67138095238094,3.7871904761904767,12,89.64055937809525,58.51883153238094,100,540412.0476190476,2.44207708775,6874003884.238095,6,0,8.392076159714286,73.89992116666666,217.77821525238093,0,2.0930967180952385,1.0627142857142855,8.014947619047621,2.0930967180952385,8.014511518954546,29.359090909090902,65.51473962285715,6,540412.0476190476,0,100,107.33655698333334,9.730571428571428,85.3932380952381,84,100,270.3498008857143,0,82.58261904761903,198497.808858175,18498.758054761907,33.37348170000375,6,49388254.225,68.85624264142858,0.0064809999523809,1721516561.2857144,120.54564033809524,29492196502.666668,51562.98805333335,413227.5277142857,236367904761.90475,-3.816861697971817,-1.9883385214063067,-0.20300966232129178,MAC,3
